i
shouldn&#39;t hold major tournaments in Muslim country&#39;s... they will and have sucked the fun out of football ... I for one won&#39;t be watching a single game... can&#39;t have sex... can&#39;t drink or take drugs ... how shit is this world cup going to be
Boycotting it because of:<br><br>1. It&#39;s hosted in an arab country<br>2. Stadiums built by slave workers<br>3. American butthurt <br><br>It is either us or the americans
Qutar world cup will flop
People talking about Qatar bribing FIFA forget that in 1990s USA hosted the world cup. USA will host again next world cup. This is in a country where  Football is not a major sport and is played by kids and women. How do you think US got to host it? 😂😂😂😂😂
UAE has even worse working conditions. However, its a hub for Western tourists and workers who earn much much more than South Asians. But they NEVER complain for receiving higher wages than other non-whites. HYPOCRITES.😂
Western hypocrisy and double standards. How about the treatment of millions of Mexican and other migrants in the US? They are exploited for cheap labor. Nobody in the West criticizes USA for hosting anything. Western HYPOCRISTES.
Fertilizer I am a Qatari expatriate. There are many workers in Qatar who work for 6/7 years. They work for the old wages. The company does not increase their wages. Many people have been able to change their jobs and have benefited a lot from the introduction of government without noc system. If the Qatari government had given the opportunity to the workers who have been working in Qatar for more than 5 years to change the kafala without noc, the workers in Qatar would have benefited a lot.
Radical Country n Radical People
Will one be taking the knee in a country that presently still uses slaves?
One day the Qatar should pay for this cruality.. damm sure.
Im. Sick anf tiered or the human flag BS. China has. Many Human Rights issues and what happend to them or Russia or anyone else? Nothing. So please stop with tye Human rights BS
Go Qatar.
Qatar has my support.
Liberals and lgbtq s are degrading Qatar. But Qatar will Doing there Job🔥🔥
Homosexuality is rampant in Qatar.
Mrs Sofia is legit and her method works like magic I keep on earning every single week with her new strategy
Qatar has murdered 7,000 African slaves in hard labor in order to build the stadiums for the World Cup and people want to celebrate on their own blood.  How can it be that a rich country like Qatar with the highest GDP in the world does not pay its slaves and forcibly enslave them to the death of 7000 people just for sports.  This World Cup must be boycotted.
Qatar has murdered 7,000 African slaves in hard labor in order to build the stadiums for the World Cup and people want to celebrate on their own blood.  How can it be that a rich country like Qatar with the highest GDP in the world does not pay its slaves and forcibly enslave them to the death of 7000 people just for sports.  This World Cup must be boycotted.
Going to Doha <br>Great country <br>🙏🙏👍👍✌️✌️✌️
The religion of BBC is called “lgbt”.
Yeah, Why apologise for Human rights violations, Oppression of LGBTQ and minorties etc etc when you can pay for such defensive PR and silence any Athlet by stuffing money in thier mouths....<br>Anyone who takes part in this Game should not be allowed to speak of Human rights ever again. Shame on these people
I dont see you guys talking about the people who died in Russia due to the buildings.. were the TV News such as BBC paid not to do so? Just interested
Lived in qatar, they are very nice to and treat europeans and americans well. After all like in bibilical egypt these westerners have a role to play as slave- drivers as they work as top level managers and directors in qatari companies, in exchange for tax-free salaries and lots of perks. However, pity to you as an asian or african working as labourer, they treat you like crap. Oh yeah some qatari people are nice but generally rarely interact or socialize with foreigners apart from at work.  It is &quot;apartheid reloaded&quot; in these rich gulf countries of kuwait, oman, bahrain, saudi and UAE . If only all leaders in so called 3rd world countries were incorruptable and made policies to ensure all their countrymen have better lives, these desperate people would not trade their bodies and labour for a peasant salary. They come there with illusion of a better life, but some die and many others repatriate home sad, emotionally scarred and in deep regret. God have mercy on the disadvantaged and exploited people. Money buys &quot;truth&quot;, hahaha ask aljazeraa. I have met this man and some of his ilk for a photo op as they sanitized their image in the world, i could write a book. But then again arab money through foreign investment vehicles is running europe and america. No escape from capitalism for most of us. God have mercy on us. No justice in this world.
Sir mera company me fibravary salary only 28 days dheray full salary not giving Agen spost day salary cutting  you know eni help
Their families should be caught and be forced to work at the same conditions that they have been putting workers from other countries.
a country that has modern day slavery, human rights abuses, sharia law which is extremely discriminatory to women and people of any other religion other than Islam and Christianity, one of the highest death rates of workers, yet it&#39;s okay to play football there, amazing isn&#39;t it, people say money can&#39;t buy you everything, show them this shitshow
The tea will come out after its done
Another glorious moment for the islamic world...
Wonder how much money received from Qatar to make this interview.
Slavery is common in middle East specially arabia
Homosexuality is not something to be proud of
The last World Cup was in Russia &amp; the criticism wasn’t 1/2 as much as Qatar. Also none of you actually care about South Asian migrant workers we’ve seen how non-European refugees and migrants are treated. It’s all a farce based on (I suspect) that of annoyance that a non-European country is willing/able to outcompete them for national prestige.
Its the death knell of football for the man in the street, competitions like this now out of reach for the majority, just a spectical for the very rich. FIFA, like the FA is run by little more than football oilgarchs.
At least no kneeling bullshit and just football
The Arabs treatment of people who are not Arabs or White in color is absolutely awfull.
This Arabic nation is little humanitarian concepts among workers , especially  home maid workers conditions are very brutal no human rights and laws. like fisherman attitude.
Stop imposing your values on to others because you would not like others forcing their values on to you.<br>Homosexuality is illegal in Islam, Christianity and Judaism, it is God&#39;s will.<br>You can&#39;t ask people to change their religion, that is a red line.<br><br>Homosexuality is wrong any way because scientifically speaking sex is for procreation.<br>Male reproductive parts should go in female reproductive parts.
Despite government reforms, migrant workers continued to face labour abuses and struggled to change jobs freely. Curtailment of freedom of expression increased in the run-up to FIFA World Cup 2022. Women and LGBTI people continued to face discrimination in law and practice<br><br>The Gulf diplomatic crisis that started in 2017, pitting Saudi Arabia, the United Arab Emirates, Bahrain and Egypt against Qatar, ended in January.<br><br>In July, the emir ratified a law paving the way for the first legislative elections of the Shura Council (Consultative Assembly) to elect 30 of its 45 members. However, the law excluded Qataris whose grandfathers were not born in Qatar from voting or standing for election on the basis of the discriminatory nationality law. The election was held on 2 October. No women were elected.<br><br>In October, the emir reshuffled the cabinet and demerged some ministries.<br><br>Covid-19 vaccines were made available to all citizens and residents aged 12 and above without discrimination, including foreign residents. By October, 77% of the population had been fully vaccinated.<br><br>Migrant workers’ rights<br><br>Despite its stated commitment, the government failed to implement and enforce reforms, enabling abusive practices to resurface and reviving the worst elements of kafala (the sponsorship-based employment system).<br><br>Migrant workers continued to face sometimes insurmountable bureaucratic barriers and requirements when seeking to change jobs without the permission of their employers, even though permission was no longer a legal requirement. In December, the government reported that 242,870 migrant workers had been able to change jobs following the reforms in September 2020; however, it did not report how many workers managed to do so without securing the permission of their employer – information that is key to measuring progress.<br><br>The situation remained even more difficult for live-in women domestic workers on account of their isolation in their employer’s house, which is also their workplace.<br><br>The system continued to yield powers to employers who oversee the entry and residence of migrant workers in Qatar, enabling abusive employers to cancel residency permits or file cases accusing their employee of absconding, jeopardizing migrant workers’ legal presence in the country.
JAPANESE 🇯🇵 🇯🇵 🇺🇦🇺🇦UKRAİNE HELPS HELPS
BRİTAİN 🇬🇧🇬🇧 CANADA AMERİCA JAPANESE 🇯🇵
RUSSİA VLADİMİR PUTİN FASCİST PUTİN 🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻💩🦿💩💩🦾👎🏻👎🏻😡😡😡🐽🐽🇷🇺🐷😡😡😡😡😡😡TERROR YES 🇷🇺🇷🇺
UKRAİNE 🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦💙💛💙💙💛💙💛💙💛💙💛💙💛💛💙💛💙💙💛💙💛 DHONBAS MARİPUL UKRAİNE 🇺🇦
&quot;Out of every one hundred men, ten shouldn’t even be there, eighty are just targets, nine are the real fighters, and we are lucky to have them, for they make the battle. Ahhhh.... But the ONE! One is a WARRIOR! And he will bring the others back!&quot;<br><br>- 🌏 The Big Picture (Satanic Freemason&#39;s Plan Exposed)<br><br>&quot;The First World War must be brought about in order to permit the Illuminati to overthrow the power of the Czars in Russia and of making that country a FORTRESS of atheistic COMMUNISM. The divergences caused by the “agentur” (agents) of the Illuminati between the British and Germanic Empires will be used to foment this war. At the end of the war, Communism will be built and used in order to DESTROY the other governments and in order to WEAKEN the religions.<br><br>The Second World War must be fomented by taking advantage of the differences between the Fascists and the political Zionists. This war must be brought about so that Nazism is destroyed and that the political Zionism be strong enough to institute a sovereign state of Israel in Palestine. During the Second World War, International COMMUNISM must become strong enough in order to balance Christendom, which would be then restrained and held in check until the time when we would need it for the FINAL social cataclysm.<br><br>The Third World War must be fomented by taking advantage of the differences caused by the “agentur” of the “Illuminati” between the political Zionists and the leaders of Islamic World. The war must be conducted in such a way that Islam and political Zionism mutually destroy each other. Meanwhile the other nations, once more divided on this issue will be constrained to fight to the point of complete physical, moral, spiritual and economical exhaustion…<br><br>We shall unleash the Nihilists and the atheists (Russia, China) and we shall provoke a formidable social cataclysm which in all its horror will show clearly to the nations the effect of absolute atheism, origin of savagery and of the most bloody turmoil.<br><br>(Caught being planned. See link below.)<br><br><a href="https://youtu.be/dEMG5I_56Q4">https://youtu.be/dEMG5I_56Q4</a><br><br>Then everywhere, the citizens, obliged to defend themselves against the world minority of revolutionaries, will exterminate those destroyers of civilization, and the multitude, disillusioned with Christianity, whose deistic spirits will from that moment be without compass or direction, anxious for an ideal, but without knowing where to render its adoration, will receive the true light through the universal manifestation of the pure DOCTRINE OF LUCIFER, brought finally out in the PUBLIC view.<br><br>This manifestation will result from the general reactionary movement which will follow the destruction of Christianity and atheism, both CONQUERED and EXTERMINATED at the same time.”  - Albert Pike (100% accurate predicting ALL 3 World Wars)<br><br>Quotes By Albert Pike from his book:<br><br>&quot;Masonry, like all the Religions, all the Mysteries, Hermeticism and Alchemy, CONCEALS its secrets from all except the Adepts and Sages, or the Elect, and uses FALSE explanations and misinterpretations of its symbols to MISLEAD those who deserve only to be misled; to CONCEAL the Truth, which it calls Light from them and to draw them AWAY from it.&quot;<br><br>Fictions are necessary for the people, and the Truth becomes deadly to those who are not strong enough to contemplate it in all its brilliance. In fact, what can there be in common between the vile multitude and sublime wisdom? The Truth must be kept SECRET, and the masses need a teaching proportioned to their imperfect reason.&quot;<br><br>&quot;That which we must say to the crowd is, we worship a god, but it is the god one adores without superstition. To you sovereign grand inspector general, we say this and you may repeat it to the brethren of the 32nd, 31st and 30th degrees - the Masonic religion should be by all of us initiates of the HIGH degrees, maintained in the purity of the luciferian doctrine. Yes, lucifer is god!&quot; - Albert Pike (Was a Lawyer, writer, Confederate General and a 33 degree Freemason/Satanic Illuminati.)<br><br> - Albert Pike published this in a book &quot;Morals &amp; Dogma&quot; in 1871. WW1 started in 1914, the Nazi party was established in 1920. Let that sink in...<br><br>Revelation 12:15<br>“And the serpent cast out of his mouth water AS A FLOOD after the woman (Bride of Christ), that he might cause her to be carried away OF THE FLOOD!”<br><br>“And to the woman were given TWO WINGS OF A GREAT EAGLE (Rapture), that she might FLY INTO THE WILDERNESS, into her place, where she is NOURISHED for a time, and times, and half a time, AWAY FROM THE FACE OF THE SERPENT!&quot;<br><br><a href="https://youtu.be/HeZpu5V5GE0">https://youtu.be/HeZpu5V5GE0</a><br><br><a href="https://youtu.be/kIW5EKhubj4">https://youtu.be/kIW5EKhubj4</a><br><br><a href="https://www.thedailybeast.com/russia-military-buildup-in-arctic-includes-superweapon-poseidon-torpedo-says-cnn">https://www.thedailybeast.com/russia-military-buildup-in-arctic-includes-superweapon-poseidon-torpedo-says-cnn</a><br><br><a href="https://sputniknews.com/20201114/state-department-fears-russias-poseidon-drones-could-swallow-us-cities-with-radioactive-tsunamis-1081167205.html">https://sputniknews.com/20201114/state-department-fears-russias-poseidon-drones-could-swallow-us-cities-with-radioactive-tsunamis-1081167205.html</a><br><br>Deagle, this highly regarded intelligence organization has bleak prospects for the United States in the years to come, including an 81% decline in its population, from 327 million in 2017 to 100 million in 2025. In fact, it predicted a similar cataclysmic fate for the UK, Australia, Germany, Japan, Denmark, and other US allies. For example, according to Deagel, the population of France will increase from 67 million inhabitants in 2017 to 39 million in 2025, that of England will increase from 66 million to 15 million, that of Australia from 23 million to 15 million. , that of Germany from 81 million to 28 million, while the population of Canada will grow from 36 million in 2017 to 26 million in 2025. (China, Russia, and the rest of the communist countries population, don&#39;t get touched.)<br><br>Deagel&#39;s reports, particularly the aforementioned research on North Korea, were also provided to the president during presidential briefings. Deagel thus provides information which is then used by global intelligence communities and governments. Here is a partial list of known Deagel partners and customers, according to their own websites: National Security Agency, North Atlantic Treaty Organization (NATO), Organization for Economic Co-operation and Development (OECD), the Organization for Security and Cooperation in Europe (OSCE), the Russian Defense Procurement Agency, Stratfor, the World Bank and the United Nations.&quot;<br><br>Luke_<a href="https://www.youtube.com/watch?v=TEVev8tIq0c&amp;t=21m36s">21:36</a><br>“Watch ye therefore, and pray always, that ye may be accounted worthy to escape all these things that shall come to pass, and to stand before the Son of man!”<br><br><a href="https://youtu.be/oyhFHyuDHMA">https://youtu.be/oyhFHyuDHMA</a>
BS. No hurts humans more than Anglo Saxons. And that&#39;s the whole PLANET. White always plant guilt. Like they doing to Putin right now. But no one slaughtered more than AMERICANS. The West says nothing.
Don’t Arabs say “women are for babies , boys are for fun ‘?<br>Then why are they homophobic?
BOYCOTT WORLD CUP 2022
Annoying Jehovah Witnesses, Orthodox Russian/Catholic FAKE versions, even mormons, or  CCP oli-sharks - even within Russian News.... they contain no truth,  Putin&#39;s World along w/ Xi,   ought know that it is BETTER THAT ONE MAN DIE, THAN ENTIRE NATIONs SUFFER!
If you think Qatar is evil wait till you see Dubai and Saudi Arabia
Half the British clowns are mad because, they don’t get to drink 🤡
Qatar is also a very good friend with russia. russians dont need visa to go there......and i guess it is clear now who stands behind bribes as well as  gives you a hint why qatar is going to host world cup
They should only be apologetic to their own country&#39;s people for being the only country ever to qualify World Cup the first time by being the host. What a shame to be a football fan in Qatar
Men in Qatar dont want other men&#39;s balls in their mouth, I understand that
Is the homophobic, slave-using, dictatorship of Qatar`s lack of feeling shame news ?
This is the ideal time for a top international footballer to come out as being gay.
Ave  never seen another news maker in this guys country making news ,they are the one who start wars and trouble in every country.they like portraying there countries as perfect while killing of knives/guns/drugs and men having sex with men,is there way of life.<br>There human rights is always homosexuality,that have gone into schools and advocated by parents whom think they are the best parents in the world.<br>There is nothing to be apologetic n if anyone thinks he/she is being mistreated should go back to there country.<br>You are just misleading the world while Ukraine is being hit hard,pple dieing, the only think is to lie to them that Russian are moving back while bombs bullets from Russia are killing them.why is it then that Ukraine are evacuating there ppl?<br>Stupid reporting just earning salary and allowances
Get rid of FIFA. <br>They are not fit for purpose.
Any religion which advocates terrorising apostates <br>with the threat of a death penalty for apostasy <br>is a terrorist organisation.
would be interesting to see how many lashes English fans would get for putting smoke sticks in their anals while cheering for english team drunk.
“1 room with 12 people” <br>That’s not new in Doha, Qatar. All expatriates are considered low class here. Even a security guard was killed by a Qatari for asking to show his identification card.
Shod not be apologetic for &quot;buying&quot; the world cup<br><br>If there was any motivation to go green it&#39;s depriving this bunch of human rights abusing, medieval stains using sports washing.
Wouldn&#39;t dream of going to that Muslim s----hole
<br>Behold, the King of kings is coming soon, repent now of all your sins — turn away from all sins — and abide in the only Savior and Lord Jesus the Christ (Yeshua the Messiah) with all your heart, for the kingdom of heaven is at hand.number of his name. Revelation 13:16‭-17 MEV</i>way&quot; means the sky will vanish as a scroll that is being rolled up, which is mentioned in Revelation 6:14.). And He will send His angels with a great sound of a trumpet, and they shall gather His elect from the four winds, from one end of the heavens to the other.</i></b><i> Matthew 24:29‭-31 MEV</i>.</i></b><i> Matthew 24:16‭-22 MEV</i>ng of sorrows. “Then they will hand you over to be persecuted and will kill you. And you will be hated by all nations for My name’s sake. Then many will fall away, and betray one another, and hate one another. And many false prophets will rise and will deceive many. Because iniquity will abound, the love of many will grow cold. But he who endures to the end shall be saved. And this gospel of the kingdom will be preached throughout the world as a testimony to all nations, and then the end will come.</i></b><i> Matthew 24:3‭-14 MEV</i>
That the solution to the oil crisis is to strengthen the production of oil-producing countries in the Middle East. The United States must also vigorously increase production to maintain a stable price of oil. If Russia lowers the price, and there are cheap countries such as India, it must be sanctioned.  And fully withdraw the investment.  Twitter has blocked the big translation movement of China&#39;s domestic propaganda. This is Fox, an accomplice of American technology and the CCP who colluded with the CCP and banned people from knowing the truth. The English channel of the Epoch Times Tang Dynasty Voice of Hope and the European and American radio media should unite.  Help the translation movement groups work together, I believe that the public who want to know the truth will definitely increase your ratings, trust me.
Hmmmmmmm, Qatar not taking responsibility and disregarding valid criticism for profit and vanity? What a shock.
all these freedom fighters lol i bet viewership will still be up lol you all need to not watch and push to boycott the broadcast in your country it won&#39;t happen just stop actin like you know best
&quot;Out of every one hundred men, ten shouldn’t even be there, eighty are just targets, nine are the real fighters, and we are lucky to have them, for they make the battle. Ahhh.... But the ONE! One is a WARRIOR! And he will bring the others back!&quot;<br><br>- 😎 The Big Picture (Satanic Freemason&#39;s Plan Exposed)<br><br>&quot;The First World War must be brought about in order to permit the Illuminati to overthrow the power of the Czars in Russia and of making that country a FORTRESS of atheistic COMMUNISM. The divergences caused by the “agentur” (agents) of the Illuminati between the British and Germanic Empires will be used to foment this war. At the end of the war, Communism will be built and used in order to DESTROY the other governments and in order to WEAKEN the religions.<br><br>The Second World War must be fomented by taking advantage of the differences between the Fascists and the political Zionists. This war must be brought about so that Nazism is destroyed and that the political Zionism be strong enough to institute a sovereign state of Israel in Palestine. During the Second World War, International COMMUNISM must become strong enough in order to balance Christendom, which would be then restrained and held in check until the time when we would need it for the FINAL social cataclysm.<br><br>The Third World War must be fomented by taking advantage of the differences caused by the “agentur” of the “Illuminati” between the political Zionists and the leaders of Islamic World. The war must be conducted in such a way that Islam and political Zionism mutually destroy each other. Meanwhile the other nations, once more divided on this issue will be constrained to fight to the point of complete physical, moral, spiritual and economical exhaustion…<br><br>We shall unleash the Nihilists and the atheists (Russia, China) and we shall provoke a formidable social cataclysm which in all its horror will show clearly to the nations the effect of absolute atheism, origin of savagery and of the most bloody turmoil.<br><br>(Caught being planned. See link below.)<br><br><a href="https://youtu.be/dEMG5I_56Q4">https://youtu.be/dEMG5I_56Q4</a><br><br>Then everywhere, the citizens, obliged to defend themselves against the world minority of revolutionaries, will exterminate those destroyers of civilization, and the multitude, disillusioned with Christianity, whose deistic spirits will from that moment be without compass or direction, anxious for an ideal, but without knowing where to render its adoration, will receive the true light through the universal manifestation of the pure DOCTRINE OF LUCIFER, brought finally out in the PUBLIC view.<br><br>This manifestation will result from the general reactionary movement which will follow the destruction of Christianity and atheism, both CONQUERED and EXTERMINATED at the same time.”  - Albert Pike (100% accurate predicting ALL 3 World Wars)<br><br>Quotes By Albert Pike from his book:<br><br>&quot;Masonry, like all the Religions, all the Mysteries, Hermeticism and Alchemy, CONCEALS its secrets from all except the Adepts and Sages, or the Elect, and uses FALSE explanations and misinterpretations of its symbols to MISLEAD those who deserve only to be misled; to CONCEAL the Truth, which it calls Light from them and to draw them AWAY from it.&quot;<br><br>Fictions are necessary for the people, and the Truth becomes deadly to those who are not strong enough to contemplate it in all its brilliance. In fact, what can there be in common between the vile multitude and sublime wisdom? The Truth must be kept SECRET, and the masses need a teaching proportioned to their imperfect reason.&quot;<br><br>&quot;That which we must say to the crowd is, we worship a god, but it is the god one adores without superstition. To you sovereign grand inspector general, we say this and you may repeat it to the brethren of the 32nd, 31st and 30th degrees - the Masonic religion should be by all of us initiates of the HIGH degrees, maintained in the purity of the luciferian doctrine. Yes, lucifer is god!&quot; - Albert Pike (Was a Lawyer, writer, Confederate General and a 33 degree Freemason/Satanic Illuminati.)<br><br> - Albert Pike published this in a book &quot;Morals &amp; Dogma&quot; in 1871. WW1 started in 1914, the Nazi party was established in 1920. Let that sink in...<br><br>Revelation 12:15<br>“And the serpent cast out of his mouth water AS A FLOOD after the woman (Bride of Christ), that he might cause her to be carried away OF THE FLOOD!”<br><br>“And to the woman were given TWO WINGS OF A GREAT EAGLE (Rapture), that she might FLY INTO THE WILDERNESS, into her place, where she is NOURISHED for a time, and times, and half a time, AWAY FROM THE FACE OF THE SERPENT!&quot;<br><br><a href="https://youtu.be/HeZpu5V5GE0">https://youtu.be/HeZpu5V5GE0</a><br><br><a href="https://youtu.be/kIW5EKhubj4">https://youtu.be/kIW5EKhubj4</a><br><br><a href="https://www.thedailybeast.com/russia-military-buildup-in-arctic-includes-superweapon-poseidon-torpedo-says-cnn">https://www.thedailybeast.com/russia-military-buildup-in-arctic-includes-superweapon-poseidon-torpedo-says-cnn</a><br><br><a href="https://sputniknews.com/20201114/state-department-fears-russias-poseidon-drones-could-swallow-us-cities-with-radioactive-tsunamis-1081167205.html">https://sputniknews.com/20201114/state-department-fears-russias-poseidon-drones-could-swallow-us-cities-with-radioactive-tsunamis-1081167205.html</a><br><br>Deagle, this highly regarded intelligence organization has bleak prospects for the United States in the years to come, including an 81% decline in its population, from 327 million in 2017 to 100 million in 2025. In fact, it predicted a similar cataclysmic fate for the UK, Australia, Germany, Japan, Denmark, and other US allies. For example, according to Deagel, the population of France will increase from 67 million inhabitants in 2017 to 39 million in 2025, that of England will increase from 66 million to 15 million, that of Australia from 23 million to 15 million. , that of Germany from 81 million to 28 million, while the population of Canada will grow from 36 million in 2017 to 26 million in 2025. (China, Russia, and the rest of the communist countries population, don&#39;t get touched.)<br><br>Deagel&#39;s reports, particularly the aforementioned research on North Korea, were also provided to the president during presidential briefings. Deagel thus provides information which is then used by global intelligence communities and governments. Here is a partial list of known Deagel partners and customers, according to their own websites: National Security Agency, North Atlantic Treaty Organization (NATO), Organization for Economic Co-operation and Development (OECD), the Organization for Security and Cooperation in Europe (OSCE), the Russian Defense Procurement Agency, Stratfor, the World Bank and the United Nations.&quot;<br><br>Luke 21:36<br>“Watch ye therefore, and pray always, that ye may be accounted worthy to escape all these things that shall come to pass, and to stand before the Son of man!”<br><br><a href="https://youtu.be/oyhFHyuDHMA">https://youtu.be/oyhFHyuDHMA</a>
Most important question to ask is, who gives a sht?
I am volunteering for Qatar world cup! Be the heart of the tournament! I am even paying for my own flights and accommodation.
Modern slavery still exists with Indians and Bangladeshis forced to work. Middle East is a joke. Their passports are taken away
Sir BBC News  Ek garibo ke Liye <br>bapurao jagtap Marg EKTA MJP COMMETTEE SRA schame Slum area redeveloping 2004 Se Abhi take Nahi Bana Hai .....???       And <br>Bharucha compound no 2 Slum area redeveloping SRA SCHAME <br>Samta grah Nirman sangh niyojit Commettee 2008 Se Abhi tak Nahi baya Hai... ??? <br>Today years 2022 Byculla (W) 400011
<br>In my opinion, the first rule to host a World Cup must be to have at least qualified in one of the last editions, <br>otherwise the World Cup will be in San Marino the next time.e.
It&#39;s shocking that thousands of people were murdered in hard labor so we could watch football.  It&#39;s inhuman.  This World Cup, which is all about bribery and murder, must be boycotted.
Qatar should improve migrants workers conditions.  SHAME on you Qatar
Qatar handed out the fattest envelopes to FIFA officials.
